"","ensgene","name","module","mm"
"9765","ENSG00000073921","PICALM","lightgreen",0.725309739050981
"9766","ENSG00000074266","EED","saddlebrown",0.780110420701061
"9767","ENSG00000254783","RP11-320L11.2","navajowhite2",0.43739044983219
"9768","ENSG00000149196","C11orf73","navajowhite2",0.82177434547344
"9769","ENSG00000151376","ME3","red",0.729853039806948
"9770","ENSG00000150687","PRSS23","coral2",0.779314052491104
"9771","ENSG00000255471","RP11-736K20.5","magenta",0.566699013437118
"9772","ENSG00000174804","FZD4","darkorange2",0.504476256235267
"9773","ENSG00000246523","RP11-736K20.6","darkturquoise",0.592231173972654
"9774","ENSG00000166575","TMEM135","magenta",0.606024895468892
"9775","ENSG00000123892","RAB38","yellow",0.362670720574565
"9776","ENSG00000109861","CTSC","lightcyan",0.661691300980982
"9777","ENSG00000134612","FOLH1B","turquoise",0.865725102510729
"9778","ENSG00000077616","NAALAD2","navajowhite2",0.572573219242564
"9779","ENSG00000110172","CHORDC1","navajowhite2",0.688630259626579
"9780","ENSG00000180773","SLC36A4","green",0.741472229045
"9781","ENSG00000166002","SMCO4","darkolivegreen",0.476117895514261
"9782","ENSG00000166004","KIAA1731","pink",0.727998607205952
"9783","ENSG00000254911","SCARNA9","magenta",0.495570740503684
"9784","ENSG00000207112","SNORA25","lightgreen",0.655830891624233
"9785","ENSG00000206799","SNORA32","lightgreen",0.618099675687493
"9786","ENSG00000166012","TAF1D","midnightblue",0.765606064386891
"9787","ENSG00000206834","SNORA1","lightgreen",0.469789439401213
"9788","ENSG00000207304","SNORA8","lightgreen",0.623583011516391
"9789","ENSG00000207145","SNORA18","lightgreen",0.544853144956865
"9790","ENSG00000221170","MIR1304","darkorange",0.403522327581738
"9791","ENSG00000210825","SNORA40","green",0.547727795342028
"9792","ENSG00000182919","C11orf54","turquoise",0.788910676680861
"9793","ENSG00000042429","MED17","orangered4",0.761543882683441
"9794","ENSG00000110218","PANX1","orange",0.746739552708679
"9795","ENSG00000256745","RP11-680H20.1","white",0.629325152524262
"9796","ENSG00000020922","MRE11A","blue",0.509574116913757
"9797","ENSG00000168876","ANKRD49","saddlebrown",0.790268484244989
"9798","ENSG00000255929","RP11-867G2.8","tan",0.728668955221886
"9799","ENSG00000134627","PIWIL4","yellow",0.815491482716344
"9800","ENSG00000166025","AMOTL1","lightpink4",0.243215276343993
"9801","ENSG00000256469","RP11-856F16.2","thistle1",0.285401220120549
"9802","ENSG00000150316","CWC15","lightcyan",0.791434686327623
"9803","ENSG00000149218","ENDOD1","coral2",0.866187998085459
"9804","ENSG00000149212","SESN3","maroon",0.707174837478471
"9805","ENSG00000077458","FAM76B","greenyellow",0.508432591255297
"9806","ENSG00000166037","CEP57","salmon4",0.580614130030504
"9807","ENSG00000256885","AP001877.1","salmon4",0.46549160398498
"9808","ENSG00000087053","MTMR2","blue",0.881887686892117
"9809","ENSG00000184384","MAML2","yellow",0.911613838208774
"9810","ENSG00000149231","CCDC82","greenyellow",0.605935552133407
"9811","ENSG00000183340","JRKL","black",0.871347270276388
"9812","ENSG00000165895","ARHGAP42","lightgreen",0.525020673542868
"9813","ENSG00000170647","TMEM133","magenta",0.54048554359331
"9814","ENSG00000137693","YAP1","darkorange",0.790443744390027
"9815","ENSG00000254422","RP11-864G5.3","darkorange",0.790883669836144
"9816","ENSG00000023445","BIRC3","paleturquoise",0.646412785159866
"9817","ENSG00000110330","BIRC2","cyan",0.697064741200657
"9818","ENSG00000152558","TMEM123","darkgrey",0.643676248194882
"9819","ENSG00000255337","RP11-315O6.1","brown",0.743895896402702
"9820","ENSG00000137673","MMP7","coral1",0.727362613981507
"9821","ENSG00000255798","RP11-817J15.3","pink",0.233642340499635
"9822","ENSG00000260966","RP11-690D19.3","magenta",0.320373434405393
"9823","ENSG00000137692","DCUN1D5","green",0.888303538496454
"9824","ENSG00000170962","PDGFD","yellow",0.879814673411985
"9825","ENSG00000235505","RP11-693N9.2","lightsteelblue1",0.727783075598343
"9826","ENSG00000196954","CASP4","darkorange",0.888979282308568
"9827","ENSG00000137752","CASP1","floralwhite",0.81407157134062
"9828","ENSG00000204397","CARD16","floralwhite",0.801729234922486
"9829","ENSG00000170903","MSANTD4","salmon",0.668508951928109
"9830","ENSG00000182359","KBTBD3","brown",0.757374144379691
"9831","ENSG00000149313","AASDHPPT","purple",0.82547993244522
"9832","ENSG00000254433","RP11-677I18.3","lightcyan",0.485628591042587
"9833","ENSG00000152402","GUCY1A2","yellow",0.780146397480795
"9834","ENSG00000213252","RP11-819M15.1","green",0.34141985115244
"9835","ENSG00000261098","RP11-819C21.1","black",0.600768823602177
"9836","ENSG00000152404","CWF19L2","cyan",0.635097518838412
"9837","ENSG00000137760","ALKBH8","saddlebrown",0.568733720340371
"9838","ENSG00000166266","CUL5","purple",0.830002749144106
